             x       y       Lnx         yLnx    (Ln x)²        SQREG        SQTOT
69   1963.9562  318.35  7.582716  2413.957698  57.497585  1904.711198  1584.050166
70   1964.0410  319.57  7.582759  2423.222410  57.498240  1892.570653  1488.426254
71   1964.1257  320.01  7.582802  2426.572624  57.498894  1880.483692  1454.669342
72   1964.2049  320.74  7.582843  2432.121003  57.499505  1869.217099  1399.517656
73   1964.2896  321.84  7.582886  2440.476008  57.500159  1857.206064  1318.425375
74   1964.3716  322.26  7.582928  2443.674273  57.500792  1845.615281  1288.101267
75   1964.4563  321.89  7.582971  2440.882469  57.501446  1833.681450  1314.796862
76   1964.5383  320.44  7.583013  2429.900537  57.502079  1822.165400  1422.053732
77   1964.6230  318.69  7.583056  2416.644005  57.502733  1810.308754  1557.101679
78   1964.7077  316.70  7.583099  2401.567377  57.503387  1798.491316  1718.113088
79   1964.7896  316.87  7.583140  2402.869713  57.504019  1787.101820  1704.048944
80   1964.8743  317.68  7.583184  2409.025751  57.504673  1775.361492  1637.831237
81   1964.9563  318.71  7.583225  2416.849731  57.505306  1764.032752  1555.523674
82   1965.0411  319.44  7.583268  2422.399271  57.505960  1752.355812  1498.473988
83   1965.1260  320.44  7.583312  2429.996383  57.506615  1740.704448  1422.053732
84   1965.2027  320.89  7.583351  2433.421398  57.507207  1730.212268  1388.317117
85   1965.2877  322.14  7.583394  2442.914519  57.507863  1718.622216  1296.729298
86   1965.3699  322.17  7.583436  2443.155496  57.508498  1707.451474  1294.569590
87   1965.4548  321.87  7.583479  2440.894369  57.509153  1695.952535  1316.247667
88   1965.5370  321.21  7.583521  2435.902706  57.509787  1684.856774  1364.573036
89   1965.6219  318.87  7.583564  2418.171041  57.510442  1673.435269  1542.928433
90   1965.7068  317.81  7.583607  2410.146190  57.511097  1662.053099  1627.325904
91   1965.7890  317.30  7.583649  2406.291818  57.511732  1651.070380  1668.732934
92   1965.8740  318.87  7.583692  2418.211935  57.512388  1639.752323  1542.928433
93   1965.9562  319.42  7.583734  2422.396321  57.513022  1628.844583  1500.022793
94   1966.0411  320.62  7.583777  2431.510648  57.513677  1617.617249  1408.510486
95   1966.1260  321.60  7.583820  2438.956637  57.514332  1606.429226  1335.911836
96   1966.2027  322.39  7.583859  2444.960431  57.514923  1596.355583  1278.786734
97   1966.2877  323.70  7.583903  2454.909281  57.515579  1585.229303  1186.811300
98   1966.3699  324.08  7.583944  2457.804711  57.516213  1574.506999  1160.773602
99   1966.4548  323.75  7.583988  2455.315988  57.516868  1563.471168  1183.368787
100  1966.5370  322.38  7.584029  2444.939400  57.517502  1552.823732  1279.502037
101  1966.6219  320.36  7.584073  2429.633491  57.518157  1541.865218  1428.093753
102  1966.7068  318.64  7.584116  2416.602642  57.518812  1530.945980  1561.050192
103  1966.7890  318.10  7.584158  2412.520514  57.519446  1520.411413  1604.012730
104  1966.8740  319.78  7.584201  2425.275719  57.520101  1509.556715  1472.266701
105  1966.9562  321.03  7.584243  2434.769386  57.520735  1499.097013  1377.903881
106  1967.0411  322.33  7.584286  2444.642814  57.521390  1488.332376  1283.081549
107  1967.1260  322.50  7.584329  2445.946062  57.522044  1477.606990  1270.931606
108  1967.2027  323.04  7.584368  2450.054195  57.522636  1467.951249  1232.721068
109  1967.2877  324.42  7.584411  2460.534640  57.523291  1457.288037  1137.721516
110  1967.3699  325.00  7.584453  2464.947177  57.523925  1447.013489  1098.930967
111  1967.4548  324.09  7.584496  2458.059311  57.524580  1436.440064  1160.092300
112  1967.5370  322.54  7.584538  2446.316817  57.525213  1426.240271  1268.081196
113  1967.6219  320.92  7.584581  2434.043714  57.525868  1415.744045  1386.082410
114  1967.7068  319.25  7.584624  2421.391238  57.526522  1405.287036  1513.219936
115  1967.7890  319.39  7.584666  2422.466428  57.527156  1395.199941  1502.347500
116  1967.8740  320.73  7.584709  2432.643734  57.527811  1384.807899  1400.265958
117  1967.9562  321.96  7.584751  2441.986374  57.528445  1374.795555  1309.725344
118  1968.0410  322.57  7.584794  2446.626972  57.529099  1364.505024  1265.945488
119  1968.1257  323.15  7.584837  2451.040060  57.529752  1354.265658  1225.008940
120  1968.2049  323.89  7.584877  2456.665872  57.530362  1344.726470  1173.756351
121  1968.2896  325.02  7.584920  2465.250770  57.531015  1334.562569  1097.605362
122  1968.3716  325.57  7.584962  2469.436040  57.531647  1324.759813  1061.464722
123  1968.4563  325.36  7.585005  2467.857198  57.532299  1314.672648  1075.192475
124  1968.5383  324.14  7.585047  2458.616994  57.532931  1304.944172  1156.688787
125  1968.6230  322.11  7.585090  2443.233209  57.533584  1294.933724  1298.890806
126  1968.7077  320.33  7.585133  2429.745531  57.534237  1284.962248  1430.362060
127  1968.7896  320.25  7.585174  2429.152043  57.534868  1275.357464  1436.419681
128  1968.8743  321.32  7.585217  2437.282003  57.535521  1265.462629  1356.458307
129  1968.9563  322.89  7.585259  2449.204241  57.536152  1255.920329  1243.276606
