             x       y             xy            x²        SQREG        SQTOT
73   1964.2896  321.84  632186.964864  3.858434e+06  1847.224371  1318.425375
74   1964.3716  322.26  633038.391816  3.858756e+06  1835.810798  1288.101267
75   1964.4563  321.89  632338.838407  3.859089e+06  1824.058548  1314.796862
76   1964.5383  320.44  629516.652852  3.859411e+06  1812.716880  1422.053732
77   1964.6230  318.69  626105.703870  3.859744e+06  1801.038903  1557.101679
78   1964.7077  316.70  622222.928590  3.860076e+06  1789.398665  1718.113088
79   1964.7896  316.87  622582.880552  3.860398e+06  1778.179114  1704.048944
80   1964.8743  317.68  624201.267624  3.860731e+06  1766.613104  1637.831237
81   1964.9563  318.71  626251.222373  3.861053e+06  1755.451738  1555.523674
82   1965.0411  319.44  627712.728984  3.861387e+06  1743.946455  1498.473988
83   1965.1260  320.44  629704.975440  3.861720e+06  1732.465498  1422.053732
84   1965.2027  320.89  630613.894403  3.862022e+06  1722.126021  1388.317117
85   1965.2877  322.14  633097.779678  3.862356e+06  1710.703819  1296.729298
86   1965.3699  322.17  633183.220683  3.862679e+06  1699.694027  1294.569590
87   1965.4548  321.87  632620.936476  3.863013e+06  1688.359912  1316.247667
88   1965.5370  321.21  631350.139770  3.863336e+06  1677.422373  1364.573036
89   1965.6219  318.87  626777.855253  3.863669e+06  1666.162885  1542.928433
90   1965.7068  317.81  624721.278108  3.864003e+06  1654.941314  1627.325904
91   1965.7890  317.30  623744.849700  3.864326e+06  1644.112739  1668.732934
92   1965.8740  318.87  626858.242380  3.864661e+06  1632.952687  1542.928433
93   1965.9562  319.42  627965.729404  3.864984e+06  1622.196409  1500.022793
94   1966.0411  320.62  630352.097482  3.865318e+06  1611.124135  1408.510486
95   1966.1260  321.60  632306.121600  3.865651e+06  1600.089778  1335.911836
96   1966.2027  322.39  633884.088453  3.865953e+06  1590.153766  1278.786734
97   1966.2877  323.70  636487.328490  3.866287e+06  1579.178690  1186.811300
98   1966.3699  324.08  637261.157192  3.866611e+06  1568.601294  1160.773602
99   1966.4548  323.75  636639.741500  3.866944e+06  1557.713779  1183.368787
100  1966.5370  322.38  633972.198060  3.867268e+06  1547.208637  1279.502037
101  1966.6219  320.36  630026.991884  3.867602e+06  1536.395749  1428.093753
102  1966.7068  318.64  626671.454752  3.867936e+06  1525.620777  1561.050192
103  1966.7890  318.10  625635.580900  3.868259e+06  1515.224599  1604.012730
104  1966.8740  319.78  628966.967720  3.868593e+06  1504.511673  1472.266701
105  1966.9562  321.03  631451.948886  3.868917e+06  1494.187792  1377.903881
106  1967.0411  322.33  634036.357763  3.869251e+06  1483.562118  1283.081549
107  1967.1260  322.50  634398.135000  3.869585e+06  1472.974361  1270.931606
108  1967.2027  323.04  635485.160208  3.869886e+06  1463.441814  1232.721068
109  1967.2877  324.42  638227.475634  3.870221e+06  1452.913864  1137.721516
110  1967.3699  325.00  639395.217500  3.870544e+06  1442.768865  1098.930967
111  1967.4548  324.09  637632.426132  3.870878e+06  1432.327949  1160.092300
112  1967.5370  322.54  634609.383980  3.871202e+06  1422.255204  1268.081196
113  1967.6219  320.92  631449.220148  3.871536e+06  1411.888916  1386.082410
114  1967.7068  319.25  628190.395900  3.871870e+06  1401.560544  1513.219936
115  1967.7890  319.39  628492.128710  3.872194e+06  1391.596762  1502.347500
116  1967.8740  320.73  631156.228020  3.872528e+06  1381.330962  1400.265958
117  1967.9562  321.96  633603.178152  3.872852e+06  1371.439477  1309.725344
118  1968.0410  322.57  634830.985370  3.873185e+06  1361.272371  1265.945488
119  1968.1257  323.15  635999.819955  3.873519e+06  1351.155014  1225.008940
120  1968.2049  323.89  637481.885061  3.873831e+06  1341.728769  1173.756351
121  1968.2896  325.02  639733.485792  3.874164e+06  1331.684438  1097.605362
122  1968.3716  325.57  640842.741812  3.874487e+06  1321.996244  1061.464722
123  1968.4563  325.36  640456.941768  3.874820e+06  1312.026185  1075.192475
124  1968.5383  324.14  638082.004562  3.875143e+06  1302.409896  1156.688787
125  1968.6230  322.11  634113.154530  3.875477e+06  1292.514110  1298.890806
