             x       y      Ln y      Ln x     LnxLny      Ln x²         SQREG         SQTOT
57   1962.9562  317.70  5.761108  7.582207  43.681909  57.489861  1.580101e-02  1.349571e-02
58   1963.0411  318.74  5.764376  7.582250  43.706939  57.490517  1.570378e-02  1.274705e-02
59   1963.1260  319.07  5.765411  7.582293  43.715034  57.491173  1.560685e-02  1.251446e-02
60   1963.2027  319.86  5.767883  7.582332  43.734009  57.491765  1.551955e-02  1.196730e-02
61   1963.2877  321.38  5.772624  7.582376  43.770206  57.492422  1.542309e-02  1.095253e-02
62   1963.3699  322.25  5.775328  7.582418  43.790946  57.493057  1.533010e-02  1.039399e-02
63   1963.4548  321.48  5.772935  7.582461  43.773056  57.493713  1.523435e-02  1.088751e-02
64   1963.5370  319.74  5.767508  7.582503  43.732146  57.494347  1.514194e-02  1.204954e-02
65   1963.6219  317.77  5.761328  7.582546  43.685533  57.495003  1.504679e-02  1.344457e-02
66   1963.7068  316.21  5.756407  7.582589  43.648466  57.495659  1.495194e-02  1.461005e-02
67   1963.7890  315.99  5.755711  7.582631  43.643430  57.496294  1.486040e-02  1.477878e-02
68   1963.8740  317.07  5.759123  7.582674  43.669551  57.496950  1.476605e-02  1.396084e-02
69   1963.9562  318.35  5.763151  7.582716  43.700341  57.497585  1.467509e-02  1.302501e-02
70   1964.0410  319.57  5.766976  7.582759  43.729594  57.498240  1.458155e-02  1.216658e-02
71   1964.1257  320.01  5.768352  7.582802  43.740276  57.498894  1.448842e-02  1.186495e-02
72   1964.2049  320.74  5.770631  7.582843  43.757786  57.499505  1.440162e-02  1.137374e-02
73   1964.2896  321.84  5.774055  7.582886  43.783997  57.500159  1.430908e-02  1.065520e-02
74   1964.3716  322.26  5.775359  7.582928  43.794127  57.500792  1.421978e-02  1.038767e-02
75   1964.4563  321.89  5.774210  7.582971  43.785665  57.501446  1.412783e-02  1.062316e-02
76   1964.5383  320.44  5.769695  7.583013  43.751670  57.502079  1.403910e-02  1.157421e-02
77   1964.6230  318.69  5.764219  7.583056  43.710392  57.502733  1.394775e-02  1.278250e-02
78   1964.7077  316.70  5.757955  7.583099  43.663141  57.503387  1.385670e-02  1.423813e-02
79   1964.7896  316.87  5.758492  7.583140  43.667451  57.504019  1.376895e-02  1.411035e-02
80   1964.8743  317.68  5.761045  7.583184  43.687059  57.504673  1.367850e-02  1.351034e-02
81   1964.9563  318.71  5.764282  7.583225  43.711846  57.505306  1.359121e-02  1.276832e-02
82   1965.0411  319.44  5.766569  7.583268  43.729444  57.505960  1.350125e-02  1.225651e-02
83   1965.1260  320.44  5.769695  7.583312  43.753396  57.506615  1.341148e-02  1.157421e-02
84   1965.2027  320.89  5.771098  7.583351  43.764263  57.507207  1.333064e-02  1.127423e-02
85   1965.2877  322.14  5.774986  7.583394  43.793996  57.507863  1.324134e-02  1.046372e-02
86   1965.3699  322.17  5.775079  7.583436  43.794943  57.508498  1.315527e-02  1.044468e-02
87   1965.4548  321.87  5.774148  7.583479  43.788128  57.509153  1.306668e-02  1.063597e-02
88   1965.5370  321.21  5.772095  7.583521  43.772803  57.509787  1.298119e-02  1.106356e-02
