             x       y        SQREG        SQTOT
116  1967.8740  320.73  1219.214914  1400.265958
117  1967.9562  321.96  1213.379944  1309.725344
118  1968.0410  322.57  1207.362086  1265.945488
119  1968.1257  323.15  1201.353118  1225.008940
120  1968.2049  323.89  1195.736050  1173.756351
121  1968.2896  325.02  1189.730829  1097.605362
122  1968.3716  325.57  1183.919019  1061.464722
123  1968.4563  325.36  1177.917989  1075.192475
124  1968.5383  324.14  1172.110422  1156.688787
125  1968.6230  322.11  1166.113967  1298.890806
126  1968.7077  320.33  1160.119984  1430.362060
127  1968.7896  320.25  1154.326595  1436.419681
128  1968.8743  321.32  1148.337767  1356.458307
129  1968.9563  322.89  1142.542484  1243.276606
130  1969.0411  324.00  1136.552140  1166.231223
131  1969.1260  324.42  1130.557712  1137.721516
132  1969.2027  325.63  1125.144900  1057.558707
133  1969.2877  326.66  1119.149377   991.628143
134  1969.3699  327.38  1113.354478   946.800760
135  1969.4548  326.71  1107.372559   988.481631
136  1969.5370  325.88  1101.584192  1041.361143
137  1969.6219  323.66  1095.609219  1189.568910
138  1969.7068  322.38  1089.637927  1279.502037
139  1969.7890  321.78  1083.860140  1322.786190
140  1969.8740  322.86  1077.889374  1245.393114
141  1969.9562  324.12  1072.119093  1158.049592
142  1970.0411  325.06  1066.163303  1094.956552
143  1970.1260  325.98  1060.211706  1034.917117
144  1970.2027  326.93  1054.838631   974.696374
145  1970.2877  328.13  1048.888305   901.208068
146  1970.3699  328.08  1043.138276   904.212581
147  1970.4548  327.67  1037.203903   929.038185
148  1970.5370  326.34  1031.462735  1011.884225
149  1970.6219  324.69  1025.537719  1119.580147
150  1970.7068  323.10  1019.617613  1228.511453
151  1970.7890  323.06  1013.890557  1231.317063
152  1970.8740  324.01  1007.973467  1165.548320
153  1970.9562  325.13  1002.256273  1090.328834
154  1971.0411  326.17   996.356532  1022.728569
155  1971.1260  326.68   990.462225   990.368938
156  1971.2027  327.17   985.141977   959.768313
157  1971.2877  327.79   979.251384   921.737355
158  1971.3699  328.93   973.560309   853.815864
159  1971.4548  328.57   967.688059   874.983956
160  1971.5370  327.36   962.008234   948.031965
161  1971.6219  325.43   956.147811  1070.606758
162  1971.7068  323.36   950.293558  1210.352986
163  1971.7890  323.56   944.631462  1196.476935
164  1971.8740  324.80   938.782791  1112.231019
165  1971.9562  326.01   933.132970  1032.987809
166  1972.0410  326.77   927.310925   984.712415
167  1972.1257  327.63   921.502425   931.478196
168  1972.2049  327.75   916.077235   924.167765
169  1972.2896  329.72   910.281958   808.272162
170  1972.3716  330.07   904.678081   788.493572
171  1972.4563  329.09   898.896673   844.491023
172  1972.5383  328.04   893.306428   906.619791
173  1972.6230  326.32   887.539312  1013.157030
174  1972.7077  324.84   881.779622  1109.564608
175  1972.7896  325.20   876.217499  1085.710916
176  1972.8743  326.50   870.472735  1001.730584
177  1972.9563  327.55   864.918482   936.367816
178  1973.0411  328.55   859.182320   876.167561
179  1973.1260  329.56   853.447398   817.395403
180  1973.2027  330.30   848.273356   775.629614
181  1973.2877  331.50   842.547254   710.229307
182  1973.3699  332.48   837.017720   658.955457
183  1973.4548  332.07   831.314868   680.173062
184  1973.5370  330.87   825.801530   744.205368
185  1973.6219  329.31   820.115625   831.752967
186  1973.7068  327.51   814.438498   938.817426
187  1973.7890  327.18   808.950386   959.148811
188  1973.8740  328.16   803.284206   899.407760
189  1973.9562  328.64   797.813365   870.847638
190  1974.0411  329.35   792.171906   829.447356
191  1974.1260  330.71   786.539787   752.960609
192  1974.2027  331.48   781.459767   711.295712
193  1974.2877  332.65   775.839136   650.256513
194  1974.3750  333.19   770.076510   623.007975
195  1974.4583  332.20   764.587573   673.409128
196  1974.5417  331.07   759.101598   733.333317
197  1974.6250  329.15   753.631851   841.007407
198  1974.7083  327.33   748.171858   949.880272
199  1974.7917  327.28   742.715190   952.964785
200  1974.8750  328.31   737.275044   890.433222
201  1974.9583  329.58   731.844981   816.252198
202  1975.0417  330.73   726.418610   751.863404
203  1975.1250  331.46   721.009055   712.362917
204  1975.2083  331.94   715.609914   686.970795
205  1975.2917  333.11   710.214835   627.007996
206  1975.3750  333.95   704.836866   585.646181
207  1975.4583  333.42   699.469645   611.579217
208  1975.5417  331.97   694.106858   685.399087
209  1975.6250  329.95   688.761478   795.247203
210  1975.7083  328.50   683.427179   879.130073
211  1975.7917  328.36   678.097690   887.451709
212  1975.8750  329.38   672.785904   827.720249
213  1975.9583  330.78   667.485536   749.123891
214  1976.0417  331.56   662.190357   707.034892
215  1976.1250  332.74   656.913177   645.674590
216  1976.2083  333.36   651.647754   614.550432
217  1976.2917  334.74   646.387902   548.034080
218  1976.3750  334.72   641.146346   548.970885
219  1976.4583  333.98   635.916887   584.195074
220  1976.5417  333.08   630.693383   628.511304
221  1976.6250  330.68   625.488474   754.607917
222  1976.7083  328.96   620.296004   852.063556
223  1976.7917  328.72   615.109876   866.132417
224  1976.8750  330.16   609.942642   783.447249
225  1976.9583  331.62   604.788191   703.847677
226  1977.0417  332.68   599.640472   648.727406
227  1977.1250  333.17   594.511947   624.006781
228  1977.2083  334.96   589.396551   537.782023
229  1977.2917  336.14   584.288281   484.445722
230  1977.3750  336.93   579.199504   450.293820
231  1977.4583  336.17   574.124202   483.126014
232  1977.5417  334.89   569.056425   541.033541
233  1977.6250  332.56   564.008441   654.854636
234  1977.7083  331.29   558.974281   721.466461
235  1977.7917  331.28   553.948046   722.003763
236  1977.8750  332.46   548.941904   659.982662
237  1977.9583  333.60   543.949939   602.708771
238  1978.0417  334.94   538.966300   538.710028
239  1978.1250  335.26   534.003057   523.957947
240  1978.2083  336.66   529.054344   461.825589
241  1978.2917  337.69   524.114362   418.616826
242  1978.3750  338.02   519.195079   405.222042
243  1978.4583  338.01   514.290679   405.624744
244  1978.5417  336.50   509.395421   468.728030
245  1978.6250  334.42   504.521163   563.118961
246  1978.7083  332.36   499.662146   665.130688
247  1978.7917  332.45   494.812683   660.496565
248  1978.8750  333.76   489.984523   594.878330
249  1978.9583  334.91   485.171962   540.103536
250  1979.0417  336.14   480.369370   484.445722
251  1979.1250  336.69   475.588385   460.537081
252  1979.2083  338.27   470.823359   395.219478
253  1979.2917  338.82   466.068722   373.653837
254  1979.3750  339.24   461.335995   357.592930
255  1979.4583  339.26   456.619589   356.836925
256  1979.5417  337.54   451.913992   424.777364
257  1979.6250  335.72   447.230612   503.110629
258  1979.7083  333.97   442.563916   584.678576
259  1979.7917  334.24   437.908454   571.694207
260  1979.8750  335.32   433.275513   521.214731
261  1979.9583  336.81   428.659623   455.401051
262  1980.0417  337.90   424.055394   410.067672
263  1980.1250  338.34   419.473992   392.441160
264  1980.2083  340.07   414.910008   326.891018
265  1980.2917  340.93   410.358117   296.532798
266  1980.3750  341.45   405.829359   278.894266
267  1980.4583  341.36   401.318388   281.908389
268  1980.5417  339.45   396.819944   349.694777
269  1980.6250  337.67   392.344939   419.435631
270  1980.7083  336.25   387.888092   479.615594
271  1980.7917  336.14   383.444210   484.445722
272  1980.8750  337.30   379.024075   434.727826
273  1980.9583  338.29   374.622470   394.424673
274  1981.0417  339.29   370.234270   355.704417
275  1981.1250  340.55   365.870124   309.764496
276  1981.2083  341.63   361.524884   272.914620
277  1981.2917  342.60   357.193493   241.806472
278  1981.3750  343.04   352.886464   228.315960
279  1981.4583  342.54   348.598716   243.676087
280  1981.5417  340.82   344.325265   300.333327
281  1981.6250  338.48   340.076483   386.913924
282  1981.7083  336.95   335.847362   449.445415
283  1981.7917  337.05   331.632987   445.215390
284  1981.8750  338.57   327.443591   383.381401
285  1981.9583  339.91   323.274236   332.702259
286  1982.0417  340.93   319.120079   296.532798
287  1982.1250  341.76   314.991211   268.636286
288  1982.2083  342.78   310.882766   236.240826
289  1982.2917  343.96   306.789976   201.359725
290  1982.3750  344.77   302.722784   179.027818
291  1982.4583  343.88   298.676399   203.636545
292  1982.5417  342.42   294.646128   247.436918
293  1982.6250  340.24   290.641766   320.772675
294  1982.7083  338.38   286.658596   390.857950
295  1982.7917  338.41   282.692004   389.672642
296  1982.8750  339.44   278.751631   350.068879
297  1982.9583  340.78   274.832837   301.721337
298  1983.0417  341.57   270.931087   274.900635
299  1983.1250  342.79   267.055867   235.933523
300  1983.2083  343.37   263.202616   218.452175
301  1983.2917  345.39   259.366877   162.820859
302  1983.3750  346.14   255.557981   144.243168
303  1983.4583  345.76   251.771444   153.515265
304  1983.5417  344.32   248.002892   191.272433
305  1983.6250  342.51   244.261494   244.613595
306  1983.7083  340.46   240.542849   312.940619
307  1983.7917  340.53   236.842664   310.468901
308  1983.8750  341.79   233.169946   267.653779
309  1983.9583  343.20   229.520374   223.506319
310  1984.0417  344.21   225.889743   194.327161
311  1984.1250  344.92   222.286890   175.036279
312  1984.2083  345.68   218.707581   155.504085
313  1984.2917  347.38   215.147694   115.995651
314  1984.3750  347.78   211.615898   107.539549
315  1984.4583  347.16   208.108045   120.782907
316  1984.5417  345.79   204.620098   152.772757
317  1984.6250  343.74   201.160558   207.651781
318  1984.7083  341.59   197.725359   274.237830
319  1984.7917  341.86   194.310556   265.368261
320  1984.8750  343.31   190.924472   220.229391
321  1984.9583  345.00   187.563133   172.925859
322  1985.0417  345.48   184.222681   160.532136
323  1985.1250  346.41   180.911262   137.830599
324  1985.2083  347.91   177.624992   104.860216
325  1985.2917  348.66   174.360104    90.062524
326  1985.3750  349.28   171.124564    78.679166
327  1985.4583  348.65   167.914578    90.252427
328  1985.5417  346.90   164.726473   126.565374
329  1985.6250  345.26   161.568031   166.155392
330  1985.7083  343.47   158.435549   215.506150
331  1985.7917  343.35   155.325451   219.043780
332  1985.8750  344.73   152.245331   180.099828
333  1985.9583  346.12   149.191581   144.723973
334  1986.0417  346.78   146.160719   129.279804
335  1986.1250  347.48   143.160151   113.851625
336  1986.2083  348.25   140.186364    98.012529
337  1986.2917  349.86   137.235973    68.726218
338  1986.3750  350.52   134.316192    58.218849
339  1986.4583  349.98   131.423605    66.750987
340  1986.5417  348.25   128.554926    98.012529
341  1986.6250  346.17   125.717172   143.523460
342  1986.7083  345.48   122.907028   160.532136
343  1986.7917  344.82   120.121306   177.692305
344  1986.8750  346.22   117.366827   142.327947
345  1986.9583  347.49   114.640373   113.638323
346  1987.0417  348.73   111.938860    88.738806
347  1987.1250  348.92   109.268906    85.195258
348  1987.2083  349.81   106.627396    69.557730
349  1987.2917  351.40   104.011349    45.564224
350  1987.3750  352.15   101.427178    36.001533
351  1987.4583  351.58    98.871870    43.166578
352  1987.5417  350.21    96.342551    63.045628
353  1987.6250  348.20    93.845426    99.005042
354  1987.7083  346.66    91.377585   132.023035
355  1987.7917  346.72    88.936261   130.647820
356  1987.8750  348.08    86.527449   101.407472
357  1987.9583  349.28    84.148345    78.679166
358  1988.0417  350.51    81.796289    58.371551
359  1988.1250  351.70    79.477064    41.604148
360  1988.2083  352.50    77.187972    31.923943
361  1988.2917  353.67    74.926464    20.071544
362  1988.3750  354.35    72.698104    14.440971
363  1988.4583  353.88    70.500305    18.233991
364  1988.5417  352.80    68.330627    28.623867
365  1988.6250  350.49    66.194417    58.677557
366  1988.7083  348.97    64.089197    84.274745
367  1988.7917  349.37    62.012640    77.090643
368  1988.8750  350.42    59.969869    59.754874
369  1988.9583  351.62    57.958520    42.642568
370  1989.0417  353.07    55.976378    25.807698
371  1989.1250  353.43    54.028342    22.279606
372  1989.2083  354.08    52.112160    16.565940
373  1989.2917  355.72    50.225735     5.905521
374  1989.3750  355.95    48.373734     4.840562
375  1989.4583  355.44    46.554022     7.344792
376  1989.5417  354.05    44.764618    16.811047
377  1989.6250  351.84    43.009958    39.817712
378  1989.7083  350.09    41.288024    64.965659
379  1989.7917  350.33    39.596953    61.154397
380  1989.8750  351.55    37.940946    43.561686
381  1989.9583  352.91    36.318103    27.458938
382  1990.0417  353.86    34.726682    18.405196
383  1990.1250  355.10    33.170645     9.303279
384  1990.2083  355.75    31.648212     5.760613
385  1990.2917  356.38    30.157762     3.133352
386  1990.3750  357.38    28.703018     0.593097
387  1990.4583  356.39    27.282319     3.098050
388  1990.5417  354.89    25.894169    10.628433
389  1990.6250  353.06    24.542045    25.909400
390  1990.7083  351.38    23.224409    45.834629
391  1990.7917  351.69    21.939892    41.733250
392  1990.8750  353.14    20.691721    25.101380
393  1990.9583  354.41    19.478485    13.988555
394  1991.0417  354.93    18.298938    10.369222
395  1991.1250  355.82    17.156060     5.429495
396  1991.2083  357.33    16.048563     0.672609
397  1991.2917  358.77    14.975332     0.384242
398  1991.3750  359.23    13.939090     1.166124
399  1991.4583  358.23    12.938678     0.006380
400  1991.5417  356.30    11.973112     3.422973
401  1991.6250  353.97    11.044856    17.473468
402  1991.7083  352.34    10.152881    33.757584
403  1991.7917  352.43     9.296334    32.719861
404  1991.8750  353.89     8.477419    18.148688
405  1991.9583  355.21     7.695239     8.644351
406  1992.0417  356.34     6.949072     3.276562
407  1992.1250  357.21     6.240858     0.883840
408  1992.2083  357.97     5.569834     0.032446
409  1992.2917  359.22     4.935412     1.144627
410  1992.3750  359.71     4.339267     2.433202
411  1992.4583  359.44     3.780767     1.663771
412  1992.5417  357.15     3.259462     1.000255
413  1992.6250  354.99     2.776755     9.986407
414  1992.7083  353.01     2.332152    26.420913
415  1992.7917  353.41     1.925341    22.468811
416  1992.8750  354.42     1.557451    13.913853
417  1992.9583  355.68     1.228124     6.101531
418  1993.0417  357.10     0.937188     1.102768
419  1993.1250  357.42     0.685496     0.533086
420  1993.2083  358.59     0.472829     0.193488
421  1993.2917  359.39     0.299157     1.537283
422  1993.3750  360.30     0.165051     4.621951
423  1993.4583  359.64     0.070434     2.219719
424  1993.5417  357.46     0.015418     0.476276
425  1993.6250  355.76     0.000291     5.712710
426  1993.7083  354.14     0.025119    16.081124
427  1993.7917  354.23     0.090158    15.367401
428  1993.8750  355.53     0.195409     6.865069
429  1993.9583  357.03     0.341082     1.254686
430  1994.0417  358.36     0.527580     0.044046
431  1994.1250  359.04     0.754613     0.791873
432  1994.2083  360.11     1.022537     3.841099
433  1994.2917  361.36     1.331904    10.303280
434  1994.3750  361.78     1.682128    13.175973
435  1994.4583  360.94     2.073715     7.783387
436  1994.5417  359.51     2.507365     1.849253
437  1994.6250  357.59     2.982196     0.313743
438  1994.7083  355.86     3.498861     5.244685
439  1994.7917  356.21     4.058215     3.764096
440  1994.8750  357.65     4.659073     0.250128
441  1994.9583  359.10     5.302240     0.902257
442  1995.0417  360.04     5.988723     3.571617
443  1995.1250  361.00     6.717034     8.121772
444  1995.2083  361.98     7.488131    14.667922
445  1995.2917  363.44     8.303174    27.982749
446  1995.3750  363.83     9.160369    32.260949
447  1995.4583  363.33    10.060828    26.831077
448  1995.5417  361.78    11.005869    13.175973
449  1995.6250  359.33    11.993385     1.392099
450  1995.7083  358.32    13.024645     0.028857
451  1995.7917  358.14    14.101125     0.000103
452  1995.8750  359.61    15.220405     2.131227
453  1995.9583  360.82    16.383910     7.128218
454  1996.0417  362.20    17.593277    16.401466
455  1996.1250  363.36    18.845767    27.142769
456  1996.2083  364.28    20.142967    37.575334
457  1996.2917  364.69    21.486674    42.769930
458  1996.3750  365.25    22.873829    50.408186
459  1996.4583  365.06    24.306177    47.746335
460  1996.5417  363.69    25.785683    30.690185
461  1996.6250  361.55    27.308960    11.559132
462  1996.7083  359.69    28.877919     2.371207
