             x       y      Ln y          xLny            x²         SQREG         SQTOT
58   1963.0411  318.74  5.764376  11315.706461  3.853530e+06  1.559981e-02  1.274705e-02
59   1963.1260  319.07  5.765411  11318.227282  3.853864e+06  1.550450e-02  1.251446e-02
60   1963.2027  319.86  5.767883  11323.524264  3.854165e+06  1.541865e-02  1.196730e-02
61   1963.2877  321.38  5.772624  11333.322135  3.854499e+06  1.532379e-02  1.095253e-02
62   1963.3699  322.25  5.775328  11339.104455  3.854821e+06  1.523232e-02  1.039399e-02
63   1963.4548  321.48  5.772935  11334.897590  3.855155e+06  1.513815e-02  1.088751e-02
64   1963.5370  319.74  5.767508  11324.715681  3.855478e+06  1.504724e-02  1.204954e-02
65   1963.6219  317.77  5.761328  11313.069541  3.855811e+06  1.495364e-02  1.344457e-02
66   1963.7068  316.21  5.756407  11303.894685  3.856144e+06  1.486033e-02  1.461005e-02
67   1963.7890  315.99  5.755711  11303.001100  3.856467e+06  1.477027e-02  1.477878e-02
68   1963.8740  317.07  5.759123  11310.191077  3.856801e+06  1.467742e-02  1.396084e-02
69   1963.9562  318.35  5.763151  11318.576936  3.857124e+06  1.458791e-02  1.302501e-02
70   1964.0410  319.57  5.766976  11326.577982  3.857457e+06  1.449586e-02  1.216658e-02
71   1964.1257  320.01  5.768352  11329.768892  3.857790e+06  1.440421e-02  1.186495e-02
72   1964.2049  320.74  5.770631  11334.701345  3.858101e+06  1.431877e-02  1.137374e-02
73   1964.2896  321.84  5.774055  11341.915258  3.858434e+06  1.422768e-02  1.065520e-02
74   1964.3716  322.26  5.775359  11344.950557  3.858756e+06  1.413977e-02  1.038767e-02
75   1964.4563  321.89  5.774210  11343.182961  3.859089e+06  1.404925e-02  1.062316e-02
76   1964.5383  320.44  5.769695  11334.786908  3.859411e+06  1.396190e-02  1.157421e-02
77   1964.6230  318.69  5.764219  11324.516917  3.859744e+06  1.387195e-02  1.278250e-02
78   1964.7077  316.70  5.757955  11312.698433  3.860076e+06  1.378230e-02  1.423813e-02
79   1964.7896  316.87  5.758492  11314.224398  3.860398e+06  1.369588e-02  1.411035e-02
80   1964.8743  317.68  5.761045  11319.728450  3.860731e+06  1.360680e-02  1.351034e-02
81   1964.9563  318.71  5.764282  11326.561442  3.861053e+06  1.352083e-02  1.276832e-02
82   1965.0411  319.44  5.766569  11331.546000  3.861387e+06  1.343221e-02  1.225651e-02
83   1965.1260  320.44  5.769695  11338.177757  3.861720e+06  1.334379e-02  1.157421e-02
84   1965.2027  320.89  5.771098  11341.378129  3.862022e+06  1.326415e-02  1.127423e-02
85   1965.2877  322.14  5.774986  11349.509413  3.862356e+06  1.317617e-02  1.046372e-02
86   1965.3699  322.17  5.775079  11350.167137  3.862679e+06  1.309137e-02  1.044468e-02
87   1965.4548  321.87  5.774148  11348.826386  3.863013e+06  1.300408e-02  1.063597e-02
88   1965.5370  321.21  5.772095  11345.266516  3.863336e+06  1.291983e-02  1.106356e-02
89   1965.6219  318.87  5.764783  11331.384689  3.863669e+06  1.283311e-02  1.265514e-02
90   1965.7068  317.81  5.761454  11325.328755  3.864003e+06  1.274668e-02  1.341540e-02
91   1965.7890  317.30  5.759848  11322.645248  3.864326e+06  1.266328e-02  1.379001e-02
92   1965.8740  318.87  5.764783  11332.837991  3.864661e+06  1.257732e-02  1.265514e-02
93   1965.9562  319.42  5.766507  11336.699897  3.864984e+06  1.249447e-02  1.227037e-02
94   1966.0411  320.62  5.770257  11344.561675  3.865318e+06  1.240919e-02  1.145370e-02
